rank,iso3,priority_score,in_demo_set,is_large_importer,n_legacy,n_sourced,n_missing,n_fields_present,fully_legacy,fully_sourced,legacy_fields,demo_reason,importer_reason
1,EGY,1103,True,True,3,12,0,15,False,False,c;f2030;fi,Egypt (headline supplier-concentration / wheat chokepoint story),Egypt — world's largest wheat importer
2,NLD,1102,True,True,2,13,0,15,False,False,c;f2030,Netherlands (Rabobank home turf — demoed live),Netherlands — major agri re-export hub
3,SOM,1010,True,False,10,4,0,15,False,False,c;f2030;w;r;m;fi;exports;exportDests;suppliers;supPct,"Somalia (most-vulnerable ranking, FDRS ~78)",
4,SSD,1010,True,False,10,4,0,15,False,False,c;f2030;w;r;m;fi;exports;exportDests;suppliers;supPct,"South Sudan (top of most-vulnerable ranking, FDRS ~80)",
5,YEM,1003,True,False,3,12,0,15,False,False,c;f2030;fi,"Yemen (most-vulnerable ranking, ~90% wheat import dependence)",
6,ARE,107,False,True,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,United Arab Emirates — Gulf importer
7,BGD,107,False,True,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,Bangladesh — large grain importer
8,IND,107,False,True,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,India
9,IRN,107,False,True,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,Iran — major wheat/maize importer
10,RUS,107,False,True,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,Russia
11,VNM,107,False,True,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,Vietnam
12,FRA,106,False,True,6,8,0,15,False,False,c;f2030;exports;exportDests;suppliers;supPct,,France
13,JPN,106,False,True,6,9,0,15,False,False,c;f2030;w;r;m;fi,,Japan — major net food importer
14,USA,105,False,True,5,9,0,15,False,False,c;f2030;fi;suppliers;supPct,,United States — large importer & economy
15,BRA,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Brazil
16,CAN,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Canada
17,CHN,103,False,True,3,12,0,15,False,False,c;f2030;fi,,China — largest food importer
18,DZA,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Algeria — major wheat importer
19,GBR,103,False,True,3,12,0,15,False,False,c;f2030;fi,,United Kingdom
20,IDN,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Indonesia — large wheat/soy importer
21,KOR,103,False,True,3,12,0,15,False,False,c;f2030;fi,,South Korea — major net food importer
22,MEX,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Mexico — major grain importer
23,MYS,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Malaysia
24,NGA,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Nigeria — large net food importer
25,PHL,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Philippines — largest rice importer
26,SAU,103,False,True,3,11,0,15,False,False,c;f2030;fi,,Saudi Arabia — Gulf importer
27,THA,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Thailand
28,TUR,103,False,True,3,12,0,15,False,False,c;f2030;fi,,Turkey
29,BEL,102,False,True,2,13,0,15,False,False,c;f2030,,Belgium — agri trade hub
30,DEU,102,False,True,2,12,1,14,False,False,c;f2030,,Germany
31,ESP,102,False,True,2,13,0,15,False,False,c;f2030,,Spain
32,ITA,102,False,True,2,13,0,15,False,False,c;f2030,,Italy
33,POL,102,False,True,2,13,0,15,False,False,c;f2030,,Poland
34,US-AK,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
35,US-AL,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
36,US-AR,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
37,US-AZ,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
38,US-CA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
39,US-CO,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
