rank,iso3,priority_score,in_demo_set,is_large_importer,n_legacy,n_sourced,n_missing,n_fields_present,fully_legacy,fully_sourced,legacy_fields,demo_reason,importer_reason
1,EGY,1106,True,True,6,7,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests,Egypt (headline supplier-concentration / wheat chokepoint story),Egypt — world's largest wheat importer
2,NLD,1105,True,True,5,8,0,13,False,False,fdrs;c;f2030;exports;exportDests,Netherlands (Rabobank home turf — demoed live),Netherlands — major agri re-export hub
3,SOM,1011,True,False,11,2,0,13,False,False,fdrs;c;f2030;w;r;m;fi;exports;exportDests;suppliers;supPct,"Somalia (most-vulnerable ranking, FDRS ~78)",
4,SSD,1011,True,False,11,2,0,13,False,False,fdrs;c;f2030;w;r;m;fi;exports;exportDests;suppliers;supPct,"South Sudan (top of most-vulnerable ranking, FDRS ~80)",
5,YEM,1006,True,False,6,7,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests,"Yemen (most-vulnerable ranking, ~90% wheat import dependence)",
6,FRA,111,False,True,11,2,0,13,False,False,fdrs;c;f2030;w;r;m;net;exports;exportDests;suppliers;supPct,,France
7,JPN,109,False,True,9,4,0,13,False,False,fdrs;c;f2030;w;r;m;fi;exports;exportDests,,Japan — major net food importer
8,ARE,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,United Arab Emirates — Gulf importer
9,BGD,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,Bangladesh — large grain importer
10,IND,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,India
11,IRN,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,Iran — major wheat/maize importer
12,RUS,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,Russia
13,USA,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,United States — large importer & economy
14,VNM,108,False,True,8,5,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests;suppliers;supPct,,Vietnam
15,BRA,106,False,True,6,7,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests,,Brazil
16,CAN,106,False,True,6,7,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests,,Canada
17,CHN,106,False,True,6,7,0,13,False,False,fdrs;c;f2030;fi;exports;exportDests,,China — largest food importer
